Name	Set	ImageFile	OfficialSet	Type	Brigade	Strength	Toughness	Class	Identifier	SpecialAbility	Rarity	Reference	Sound	Alignment	Legality
Walking on Water (GoC)	GoC	121-Walking-on-Water	Gospel of Christ	GE	Purple	1	5	Star		STAR: Play a Lost Soul from a deck. GE: Negate an evil card. You may take a good card from Reserve (or add it to battle if you reveal a good Dominant from hand).	Common	Matthew 14:25		Good	Rotation
Walking on Water (I)	I	Walking_on_Water_(I)	I	GE	Purple/Silver	2	3			Negate and discard the last evil Enhancement played in battle.	Deck	Matthew 14:30-31		Good	Rotation
Walking on Water (Promo)	Pmo-P1	Walking_on_Water_(Promo)	Promo	GE	Red	0	3			Interrupt the battle and make all N.T. Heroes immune to all evil brigades.	Promo	Matthew 14:25		Good	
Wall of Fire	Prp	Wall_of_Fire_(Pr)	Prophets	GE	White	2	2			Black Brigade and Pale Green Brigade characters have no effect on current rescue attempt.	Uncommon	Zechariah 2:5		Good	
Wall of Protection	Ap	Wall_of_Protection_(Ap)	Apostles	Fortress						Place this site in your territory.  No character in your territory may be brought into battle by an opponent.	Ultra Rare	I Kings 9:15		Good	
Wall of Protection (LoC)	LoC	LoC_027-Wall-of-Protection-R	Lineage of Christ	Fortress						Protect your characters from opponents’ band, choose and side battle abilities. Protect your meek Heroes from the first evil Enhancement played each battle.	Rare	Nehemiah 4:7		Good	Rotation
Wall of Protection (Promo)	LoC	Promo_Wall-of-Protection	Promo	Fortress						Protect your characters from opponents’ band, choose and side battle abilities. Protect your meek Heroes from the first evil Enhancement played each battle.	Promo	Nehemiah 4:7		Good	Rotation
Wall of Water	War	Wall_of_Water_(Wa)	Warriors	GE	Blue	3	2			Interrupt the current battle to give all Heroes not in the Field of Battle protection from damage this turn.	Common	Exodus 14:29		Good	
Wall's Collapse	Ki	Wall's_Collapse_(Ki)	Kings	GE	Red	4	1			Discard a single color Lost Soul Site in play and all evil cards guarding it.	Common	I Kings 20:30		Good	
Wandering Israelites	IR	098-Wandering-Israelites-R	Israel's Rebellion	Evil Character	Brown	1	3		Generic, Genderless, Wilderness	You may draw 1 and exchange this card with an evil wilderness human from deck.	Rare	Numbers 32:13		Evil	Rotation
Wandering Spirit (Ap)	Ap	Wandering_Spirit_(Ap)	Apostles	Evil Character	Gold	3	4			If Wandering Spirit is placed in Tartaros and remains for four turns, it is released back to owner's territory with abilities increased to (6/8).	Common	Luke 11:24		Evil	
Wandering Spirit (GoC)	GoC	LR64-Wandering-Spirit	Gospel of Christ	Evil Character	Orange	3	4		Generic	If your demon is discarded, underdeck it instead. Reveal the bottom card of deck: If it is a demon, play it. May band to a generic demon. Cannot be negated.	Legacy Rare	Luke 11:24		Evil	Rotation
Wandering Spirit (TxP)	TxP	Wandering_Spirit_(TxP)	Thesaurus ex Preteritus	Evil Character	Orange	3	4		Demon, Generic	Reveal the bottom card of deck. If it is a demon, put it in your territory. May band to a generic demon. If your demon is discarded, place it beneath deck instead. Cannot be negated.	Fixed	Luke 11:24		Evil	
War in Heaven	3E	War_in_Heaven_(E)	3rd Edition	GE	Silver	5	2				Deck	Revelation 12:7		Good	
War in Heaven (RoJ AB)	RoJ (AB)	RoJ_AB_N39-War-in-Heaven-R	Revelation of John (Alternate Border)	GE/EE	Silver/Orange	5	2			Negate and discard an opposing card in battle (except a human).	Rare	Revelation 12:7		Neutral	Rotation
War in Heaven (RoJ)	RoJ	39-War-in-Heaven-R	Revelation of John	GE/EE	Silver/Orange	5	2			Negate and discard an opposing card in battle (except a human).	Rare	Revelation 12:7		Neutral	Rotation
War in Heaven [2023 - Worker]	Pmo-P3	War-in-Heaven	Promo	GE/EE	Silver/Orange	5	2			Negate and discard an opposing card in battle (except a human).	Rare	Revelation 12:7		Neutral	Rotation
War in the Heavens	AW	War_in_the_Heavens_(AW)	Angel Wars	EE	Brown	1	5			This card is worth 2/10 if used by a demon.	Common	Revelation 12:7		Evil	
War Officer	Ki	War_Officer_(Ki)	Kings	Hero	White	5	6	Warrior	Judean	Hero has access to any Site.  If defeated place in opponent's Land of Bondage.  Hero is treated as a Lost Soul.	Uncommon	II Kings 25:19		Good	
Warning Against Rebellion	CoW	Warning_Against_Rebellion_(CoW)	Cloud of Witnesses	GE/EE	White/Brown	1	5	Territory	Involves music	Reveal the top 5 cards of opponent's deck: Put Lost Souls in play and underdeck the rest. If blocking, you may topdeck a Lost Soul.	Common	Hebrews 3:15  (Psalm 95:7-8)		Neutral	Rotation
Warning Against Rebellion (CoW AB)	CoW (AB)	CoW_AB_N28-Warning-Against-Rebellion	Cloud of Witnesses (Alternate Border)	GE/EE	White/Brown	1	5	Territory	Involves music	Reveal the top 5 cards of opponent’s deck: Put Lost Souls in play and underdeck the rest. If blocking, you may topdeck a Lost Soul.	Common	Hebrews 3:15 (Psalm 95:7-8)		Neutral	Rotation
Warrior in Training	War	Warrior_in_Training_(Wa)	Warriors	Hero	Blue	4	4			This Hero decreases 1/1 each time he enters battle.  The turn after reaching 1/1 he increases to 10/10 until discarded.	Uncommon	Psalm 144:1		Good	
Warrior in Training [2024 - Seasonal]	Pmo-P3	Warrior-in-Training-Seasonal.jpg	Promo	Hero	White	1	1	Warrior	Generic, Symbolic, Involves music, X = # of Redeemed Souls	You may look at a hand or draw X (limit 3). If this card is discarded, you may take a good Dominant from deck.	Promo	Psalm 144:1		Good	Rotation
Warrior Overtaken (1st Print - L)	L1P	L3-1P-Warrior-Overtaken	L Starter (1st Print)	Dominant						You may take an evil Philistine from deck or Reserve. Discard a Hero in a territory to add an evil Philistine to battle.	Starter	I Samuel 31:2		Evil	Rotation
Warrior Overtaken [L]	L	L3-Warrior-Overtaken	L Starter	Dominant						You may take an evil Philistine from deck or Reserve. Discard a Hero in a territory to add an evil Philistine to battle.	Starter	I Samuel 31:2		Evil	Rotation
Warrior's Spear	RoA	Warrior's_Spear_(RA)	Rock of Ages	GE	Red	3	2	Weapon		Discard the top card of opponent's deck. If it is a Lost Soul, put it in play instead, and discard this card after battle.	Fixed	I Chronicles 12:24		Good	
Wash Basin	Di	Wash_Basin_(Di)	Disciples	Artifact					X = # of your N.T. human Heroes	On activation, reveal the bottom X cards of an opponent's deck (limit 2).  Discard the Evil Character cards and put the rest on top or bottom of deck.	Fixed	John 13:5		Neutral	
Washed by Christ (GoC)	GoC	122-Washed-by-Christ	Gospel of Christ	GE	Purple	1	2			If used by a disciple, underdeck all Evil Characters in battle.	Common	John 13:5		Good	Rotation
Washing Hands	Di	Washing_Hands_(Di)	Disciples	EE	Gray					Discard an Evil Character card from your hand to return up to two N.T. Lost Souls to the top of deck. If no weapon is in battle, withdraw your Roman Evil Character Characters.	Fixed	Matthew 27:24		Evil	
Wastelands	FoOF	Wastelands_(FF)	Faith of Our Fathers	Curse	Orange	2	4			Selected opponent must place a Site from his territory beneath deck. May be used twice per game.	Fixed	Deuteronomy 29:23		Evil	
Wastelands (Roots)	RR	028-Wastelands.jpg	Roots	Curse	Orange	2	4			EE: Negate and discard a Fortress. / A: Underdeck this card to underdeck a territory class card or neutral card.		Deuteronomy 29:23		Evil	Rotation
Wasting Disease	Pri	Wasting_Disease_(Pi)	Priests	Curse	Brown	0	6			Prevent all good abilities that allow a player to play an Enhancement.	Uncommon	Deuteronomy 28:22		Evil	
Wasting Disease (PoC)	PoC	045-Wasting-Disease	Prophecies of Christ	Curse	Brown	0	6			EE: If opponent has used a draw ability this turn, end the battle. ART: If an opponent uses a search ability, you may shuffle a card in their territory.	Common	Deuteronomy 28:22		Evil	Rotation
Watcher	Pat	Watcher_(Pa)	Patriarchs	Hero	Silver	4	7			If an Evil Character was or is currently set aside, shuffle that Evil Character back into Owner's draw pile.  Discard the set-aside card(s).	Uncommon	Daniel 4:23		Good	
Watchful Servant	Di	Watchful_Servant_(Di)	Disciples	Hero	Gold	3	3		Generic, X = # of cards in opponent's deck	Protected from capture and conversion.  Ignores Evil Character Characters with toughness greater than X.	Fixed	Luke 12:37		Good	
Watchful Servant (GoC)	GoC	094-Watchful-Servant-R	Gospel of Christ	Hero	Gold	5	4		Generic, X = # of Heroes opponent controls	You may reserve the bottom card of a deck or draw X (limit 3). May band to a unique N.T. gold Hero. Cannot be interrupted.	Rare	Luke 12:37		Good	Rotation
Water from a Rock	10A	Water_from_a_Rock_(G)	10th Anniversary	GE	Gold	1	3			Draw two cards.  Cannot be prevented.	Deck	Exodus 17:6		Good	
Water from a Rock (1st Print - L)	L1P	L52-1P-Water-from-a-Rock	L Starter (1st Print)	GE	Clay/White	2	4			Negate an evil card. Hero may band to an O.T. Hero.	Starter	Exodus 17:6		Good	Rotation
Water from a Rock [L]	L	L54-Water-from-a-Rock	L Starter	GE	Clay/White	2	4			Negate an evil card. Hero may band to an O.T. Hero.	Starter	Exodus 17:6		Good	Rotation
Water from the Lord	IR	076-Water-from-the-Lord	Israel's Rebellion	GE	White	2	0			Withdraw all Evil Characters. You may draw 3.	Common	Exodus 15:25		Good	Rotation
Water from the Rock	Pat	Water_from_the_Rock_(Pa)	Patriarchs	GE	Gold					Draw top card from own draw pile.  All O.T. Heroes in play gain 1/3 until end of turn.	Common	Exodus 17:6		Good	
Water Shaft	Pat	Water_Shaft_(Pa)	Patriarchs	EE	Gray	0	3			Evil Character may band to one Evil Character for remainder of turn.  Opponent's Wall of Protection has no effect this turn	Rare	II Samuel 5:6		Evil	
Water to Wine (I)	I	Water_to_Wine_(I)	I	GE	Multi	4	3				Deck	John 2:3-5		Good	Rotation
Water to Wine (Promo)	Pmo-P1	Water_to_Wine_(Promo)	Promo	GE	Blue	3	3			Holder may search draw pile for all blue brigade set-aside cards and put them in play.	Promo	New Testament		Good	
Wayward Sheep	FoM	118-Wayward-Sheep	Fall of Man	Evil Character	Crimson	3	6		Animal, Generic, Genderless	You may withdraw a Hero in battle. If you do, after battle, underdeck this card or give it to an opponent's territory.	Common	I Kings 22:17		Evil	Rotation
Weakness	AW	Weakness_(AW)	Angel Wars	EE	Brown					Place this card in a player's territory.  If that player controls a Hero in battle that has decreased toughness, the blocker has initiative to play the first enhancement in battle.	Rare	Lamentations 1:6		Evil	
Weapon of Light	AW	Weapon_of_Light_(AW)	Angel Wars	GE	Silver	2	*	Weapon		Toughness is equal to the number of evil characters one opponent has in play.	Common	Luke 2:9		Good	
Weapon of the Holy	AW	Weapon_of_the_Holy_(AW)	Angel Wars	GE	Silver	3	1	Weapon		Holder may discard this card to decrease a demon's abilities by 5/5 until end of turn.	Common	Revelation 14:10		Good	
Wedding Party	3E	Wedding_Party_(F)	3rd Edition	GE	Gold	3	3			Search opponent's draw pile for a Lost Soul and put it in opponent's Land of Bondage.  Shuffle that draw pile.	Deck	Matthew 22:10		Good	
Weeping for Tammuz	Prp	Weeping_for_Tammuz_(Pr)	Prophets	EE	Crimson	2	3				Common	Ezekiel 8:14		Evil	
Well Reopened (F)	3E	Well_Reopened_(F)	3rd Edition	GE	Gold	3	3			Holder may draw a card.	Deck	Genesis 26:18		Good	
Well Reopened (TxP)	TxP	Well_Reopened_(TxP)	Thesaurus ex Preteritus	GE	Blue	3	3	Territory		If used by a Genesis Hero, search deck or discard pile for a Site or draw a card.	Fixed	Genesis 26:18		Good	
Wheat and Tares	Di	Wheat_and_Tares_(Di)	Disciples	GE	Silver	3	3		Parable, X = # of your redeemed souls	If used by a N.T. angel, negate immune abilities, discard X human Evil Character Characters, and return X human Heroes in territories to their owners' hands.	Fixed	Matthew 13:30		Good	
Wheat and Tares (GoC)	GoC	137-Wheat-and-Tares	Gospel of Christ	GE	Silver	0	0	Territory, Star	[X = # of Evil Characters bounced by this card] Gospel	STAR: Play a Lost Soul from a deck. / GE: If used by a Gospel Hero, bounce all Evil Characters. If played in battle, you may draw X (limit 3).	Common	Matthew 13:30		Good	Rotation
Wheel within a Wheel (FooF)	FoOF	Wheel_Within_a_Wheel_(FF2)	Faith of Our Fathers	GE	Green/Silver			Territory		Search deck or discard pile for an O.T. angel and put it in play. Place on your angel: That Hero is protected from opponents' Dominants and has Site Access.	Fixed	Ezekiel 1:16		Good	
Wheel within a Wheel (Pr)	Prp	Wheel_within_a_Wheel_(Pr)	Prophets	GE	Red					Holder may exchange current Hero with any Hero from holder's draw pile.  Shuffle after exchange.	Rare	Ezekiel 1:16		Good	
Wheel Within a Wheel (Roots)	RR	119-Wheel-Within-a-Wheel.jpg	Roots	GE	Silver	4	4		Based on Prophecy	Negate an evil card. You may take up to 2 O.T. angels from deck or Reserve. Cannot be interrupted.		Ezekiel 1:16		Good	Rotation
When Judges Governed	J	When_Judges_Governed_(J)	J	GE	White/Gold	3	4			If you control a Ruth Hero, withdraw an Evil Character. If you control a Judge, discard an evil card in a territory.	Deck	Ruth 1:1		Good	Rotation
Whirlwind	Pmo-P2	Whirlwind	Promo	GE	Multi				Begins as an Enhancement	Discard an evil card (except a character). Convert this card to a Fortress.	Promo	Proverbs 10:25		Good	Rotation
Who is Without Sin? (GoC)	GoC	102-Who-is-WIthout-Sin	Gospel of Christ	GE	Gold	4	3			Interrupt the battle. If used by a N.T. Hero, withdraw all Evil Characters. You may discard an evil card from a Reserve. Cannot be negated by a Pharisee.	Common	John 8:7-8		Good	Rotation
Whore of Babylon (L)	Main UL	Whore_of_Babylon_(UL)	Main Unlimited	Evil Character	Crimson	8	8				Rare	Revelation 17:5		Evil	
Whore of Babylon (UL)	Main	Whore_of_Babylon_-_(UL)	Main	Evil Character	Crimson	8	8				Rare	Revelation 17:5		Evil	
Wicked Community [IR]	IR	095-Wicked-Community-R	Israel's Rebellion	Evil Character	Brown	4	10	Territory	[X = # of opponent’s Heroes] Generic, Genderless, Wilderness	At any time, you may reserve your O.T. Curse to negate the last good Enhancement played. If blocking, you may draw X (limit 3).	Rare	Numbers 14:27		Evil	Rotation
Wicked Community	Pri	Wicked_Community_(Pi)	Priests	EE	Gold					Search one player's discard pile for all Lost Souls and place them in owner's territory.  Cannot be negated.	Common	Numbers 14:35		Evil	
Wicked People	CoW	Wicked_People_(CoW)	Cloud of Witnesses	Evil Character	Pale Green	X	X		Antediluvian, Generic, Genderless, X = # of cards in your hand	You may discard an opponent's Enhancement to draw 2. Your evil Genesis cards cannot be prevented.	Common	Genesis 6:5		Evil	Rotation
Wicked People (CoW AB)	CoW (AB)	CoW_AB_N126-Wicked-People	Cloud of Witnesses (Alternate Border)	Evil Character	Pale Green	X	X		Antediluvian, Generic, Genderless, X = # of cards in your hand	You may discard an opponent’s Enhancement to draw 2. Your evil Genesis cards cannot be prevented.	Common	Genesis 6:5		Evil	Rotation
Wicked Spirit Token	GoC	Wicked-Spirit-Token	Gospel of Christ Token	Evil Character Token	Orange	1	3		Generic, Demon		Token	Luke 11:26		Evil	Rotation
Wicked Thief	Ap	Wicked_Thief_(Ap)	Apostles	Evil Character	Brown	3	4				Common	Luke 23:39		Evil	
Wickedness Abounds	Pri	Wickedness_Abounds_(Pi)	Priests	EE	Brown	3	3			If opponent has more cards in hand than you, draw four cards.  You may play the next Enhancement.	Common	Genesis 6:5		Evil	
Wickedness Abounds (CoW AB)	CoW (AB)	CoW_AB_N127-Wickedness-Abounds-R	Cloud of Witnesses (Alternate Border)	EE	Pale Green	3	3			Opponent must give you an evil card from hand or an Artifact from Artifact pile. If used by a Genesis Evil Character, discard an opponent’s character.	Rare	Genesis 6:5		Evil	Rotation
Wickedness Abounds (CoW)	CoW	Wickedness_Abounds_(CoW)	Cloud of Witnesses	EE	Pale Green	3	3			Opponent must give you an evil card from hand or an Artifact from Artifact pile. If used by a Genesis Evil Character, discard an opponent's character.	Rare	Genesis 6:5		Evil	Rotation
Wickedness of Delilah (I)	I	Wickedness_of_Delilah_(I)	I	EE	Black	0	6	Territory		Underdeck a Hero.	Deck	Judges 16:15		Evil	Rotation
Wickedness of Delilah (Pa)	Pat	Wickedness_of_Delilah_(Pa)	Patriarchs	EE	Brown	4	1			If played on Delilah, capture any male Hero in play and place in your Land of Bondage.	Common	Judges 16:15		Evil	
Wickedness of Jezebel	PoC	068-Wickedness-of-Jezebel	Prophecies of Christ	EE	Black/Brown	3	3			If used by an evil male human, character may band to an evil male human. Discard a Hero. Cannot be negated if used by Jezebel.	Common	I Kings 21:10		Evil	Rotation
Wickedness of the Tenants	Di	Wickedness_of_the_Tenants_(Di)	Disciples	EE	Brown	3	3			If used by an O.T. human, interrupt the battle and discard a human Hero. Cannot be prevented.	Fixed	Matthew 21:35-36		Evil	
Wickedness Removed	RoA	Wickedness_Removed_(RA)	Rock of Ages	GE	Green/Silver	3	2			You may remove this card from the game to reveal the top five cards of opponent's deck. Remove the evil cards from the game. You may put the Lost Souls in play. Place the rest beneath deck.	Fixed	Zechariah 5:9		Good	
Widow	Pat	Widow_(Pa)	Patriarchs	Hero	Purple	3	3			Widow may not be blocked by an Evil Character of */8 or higher.	Common	II Kings 4:1		Good	
Widows of Joppa	TEC	Widows_of_Joppa_(EC)	Early Church	Hero	Clay	2	2	Territory		Protect your hand and discard pile from evil cards. If this Hero is discarded from play, you may draw 1.	Common	Acts 9:39		Good	Rotation
Widows' Tables	TEC	Widows'_Tables_(EC)	Early Church	Fortress					Plays to set aside, Holds Any # of clay Enhancements	If a clay Enhancement is discarded (or underdecked) from your hand during battle, you may place it here instead. Your deacons may use Enhancements from here as if played from hand.	Common	Acts 6:2-3		Good	Rotation
Wild Animals	IR	103-Wild-Animals	Israel's Rebellion	Evil Character	Crimson	8	5		Generic, Animal, Lion	Negate Heroes. Withdraw all Heroes (except 1).	Common	Leviticus 7:24		Evil	Rotation
Wild Beast	FoM	045-Wild-Beast	Fall of Man	Evil Character	Crimson	10	1		Animal, Generic, Lion	First strike. You may underdeck a son of Jacob, negate and discard an Enhancement and draw 1.	Common	Genesis 37:20		Evil	Rotation
Wild Dogs (RoJ AB)	RoJ (AB)	RoJ_AB_N110-Wild-Dogs	Revelation of John (Alternate Border)	Evil Character	Crimson	4	4		Animal, Generic, Genderless, X = # of your animals	Reveal a random card from opponent’s hand. Topdeck it to draw X (limit 3) or underdeck it. If it is a good card, protect N.T. Lost Souls from rescue.	Common	Revelation 22:15		Evil	Rotation
Wild Dogs (RoJ)	RoJ	110-Wild-Dogs	Revelation of John	Evil Character	Crimson	4	4		Animal, Generic, Genderless, X = # of your animals	Reveal a random card from opponent's hand. Topdeck it to draw X (limit 3) or underdeck it. If it's a good card, protect N.T. Lost Souls from rescue.	Common	Revelation 22:15		Evil	Rotation
Wild Ox (LoC)	LoC	LoC_047-Wild-Ox	Lineage of Christ	GE/Evil Character	Blue/Brown/Crimson	3(3)	4(9)		Animal, Generic	GE: You may take a good Enhancement from Reserve or discard pile. EC: Protect this card from capture and discard abilities.	Common	Job 39:10		Neutral	Rotation
Wild Parties	Ap	Wild_Parties_(Ap)	Apostles	EE	Brown	1	4				Common	I Peter 4:3		Evil	
Wilderness of Sinai	Pri	Wilderness_of_Sinai_(Pi)	Priests	Site	Teal					Protect evil cards in this Site from DragonRaid.	Common	Exodus 19:2		Neutral	
Wilderness of Sinai (1st Print - L)	L1P	L5-1P-Wilderness-of-Sinai	L Starter (1st Print)	Fortress						If put in play, you may take an Exodus Hero from deck or Reserve. If your lone Exodus Hero attacks, you may draw 1.	Starter	Exodus 19:2		Good	Rotation
Wilderness of Sinai [L]	L	L5-Wilderness-of-Sinai	L Starter	Fortress						If put in play, you may take an Exodus Hero from deck or Reserve. If your lone Exodus Hero attacks, you may draw 1.	Starter	Exodus 19:2		Good	Rotation
Wildness (L)	Main	Wildness_(UL)	Main	EE	Gray	1	1			Evil Character ignores Gold Brigade.	Rare	Romans 1:29-30		Evil	
Wildness (UL)	Main UL	Wildness_(UL)	Main Unlimited	EE	Gray	1	1			Evil Character ignores Gold Brigade.	Rare	Romans 1:29-30		Evil	
Windows of Narrow Light	Pmo-P1	Windows_of_Narrow_Light_(Promo)	Promo	Artifact					Temple item	Protect your Heroes with no special ability from capture, conversion, and removal from the game.	Promo	I Kings 6:4		Neutral	
Windows of Narrow Light (LoC)	LoC	LoC_010-Windows-of-Narrow-Light	Lineage of Christ	Artifact					Temple	While you control 3 or more meek Heroes and your meek Hero is in battle, negate characters and Enhancements. Cannot be negated.	Common	I Kings 6:4		Neutral	Rotation
Winds	AW	Winds_(AW)	Angel Wars	GE	Silver	2	2			Holder may exchange an angel in battle with an angel in holder's hand, territory, or Chamber of Angels.	Common	Hebrews 1:7		Good	
Wings	AW	Wings_(AW)	Angel Wars	GE	Silver					Place this card on an angel.  While this card remains, that Hero is protected from capture, poison, and disease.	Common	Ezekiel 3:13		Good	
Wings of Calamity	Pmo-P1	Wings_of_Calamity_(Promo)	Promo	EE	Black					Place this card on a black brigade demon.  Artifacts do not prevent that demon from blocking, and the special ability on that demon cannot be negated.	Promo	Revelation 9:9		Evil	
Wings of Calamity (Roots)	RR	210-Wings-of-Calamity.jpg	Roots	EE	Orange	2	2	Warrior		Prevent the next good Enhancement played in battle.		Revelation 9:9		Evil	Rotation
Wisdom (L)	Main	Wisdom_(UL)	Main	GE	Gold	2	2				Uncommon	II Timothy 3:15		Good	
Wisdom (PC)	TPC	Wisdom_(PC)	Persecuted Church	GE	Clay	2	2			Convert a human Evil Character to a clay Hero. Your Ephesus Hero may band to that character to discard a heretic or an idol. Cannot be prevented.	Common	II Timothy 3:15		Good	Rotation
Wisdom (UL)	Main UL	Wisdom_(UL)	Main Unlimited	GE	Gold	2	2				Uncommon	II Timothy 3:15		Good	
Wisdom of Solomon	Ki	Wisdom_of_Solomon_(Ki)	Kings	GE	Gold	2	2			Look at opponent's hand.  Holder may choose which Lost Soul is rescued this turn if rescue attempt is successful.	Uncommon	I Kings 3:27		Good	
Witch of Endor (Pr)	Prp	Witch_of_Endor_(Pr)	Prophets	Evil Character	Pale Green	8	7				Rare	I Samuel 28:7		Evil	
Witch of Endor (Wa)	War	Witch_of_Endor_(Wa)	Warriors	Evil Character	Pale Green	7	8			Convert the Hero Saul to an Evil Character in the Brigade color of your choice.	Common	I Samuel 28:7		Evil	
Withered Hand	Ki	Withered_Hand_(Ki)	Kings	GE	White					Selected human Evil Character in battle may return to territory.  If the Evil Character does not withdraw, discard it after battle regardless of battle outcome or immunity.	Common	I Kings 13:4		Good	
Withered Plant (The Worm)	PoC	194-Withered-Plant-The-Worm	Prophecies of Christ	EE/Evil Character	Brown/Pale Green (Brown/Crimson)	2(0)	4(1)		Animal	EE: Set aside a human for 2 turns. If it is a green prophet, you may return this card to hand after battle. EC: Negate and discard an Enhancement.	Common	Jonah 4:7		Evil	Rotation
Withered Seed (GoC)	GoC	171-Withered-Seed	Gospel of Christ	EE	Black/Gray	1	4	Territory, Star		STAR: Topdeck a good Enhancement from Reserve. EE: You may underdeck a good Enhancement from opponent’s hand and a meek Lost Soul in territory.	Common	Luke 8:6		Evil	Rotation
Without Food	Ap	Without_Food_(Ap)	Apostles	EE	Crimson					Hero decreases 1/1 each turn until */1.  While Without Food, Hero must allow the Evil Character to play the first enhancement in battle.  Treat as a disease.	Uncommon	II Corinthians 6:5		Evil	
Witnesses to Creation	Pat	Witnesses_to_Creatoin_(Pa)	Patriarchs	GE	Silver					Set one silver brigade Hero aside for seven turns.  The next time Hero enters battle he cannot be blocked by humans.	Uncommon	Job 38:7		Good	
Wizard (PC)	TPC	Wizard_(PC)	Persecuted Church	Evil Character	Pale Green	6	7		Generic, Magican	If blocking, you may exchange an evil card in hand with a pale green Enhancement in discard pile.	Common	Isaiah 8:19		Evil	Rotation
Wizards	Prp	Wizards_(Pr)	Prophets	Evil Character	Pale Green	6	7				Uncommon	Isaiah 8:19		Evil	
Wolves in Sheep's Clothing	Di	Wolves_in_Sheep's_Clothing_(Di)	Disciples	EE	Crimson			Territory		Place in your territory: Your heretics cannot be ignored.  Protect heretics in your territory from opponents' cards. You may discard this to heal a heretic.	Fixed	Matthew 7:15		Evil	
Woman in the Ephah	Prp	Woman_in_the_Ephah_(Pr)	Prophets	EE	Black	2	3			This card is worth 3/4 if played against Red Brigade.	Common	Zechariah 5:7-8		Evil	
Woman of Thebez	Wom	Woman_of_Thebez_(Wo)	Women	Evil Character	Gold	4	4				Common	Judges 9:53		Evil	
Woman of Wisdom	Ki	Woman_of_Wisdom_(Ki)	Kings	Hero	White	7	3			Discard Sheba.  Regardless of rescue attempt outcome, no more than one Hero is discarded.  Blocker chooses the Hero.	Uncommon	II Samuel 20:16		Good	
Women as Snares	Wom	Women_as_Snares_(Wo)	Women	Evil Character	Pale Green	6	7			When using this Character to block, take prisoner all male Evil Characters of one opponent and place them in your Land of Bondage.  They are treated as Lost Souls.	Common	Ecclesiastes 7:26		Evil	
Women as Snares (Roots)	RR	160-Women-as-Snares.jpg	Roots	Evil Character	Brown	6	7			If blocking, you may capture all evil male humans in opponent’s territory.		Ecclesiastes 7:26		Evil	Rotation
Women of Israel	10A	Women_of_Israel_(G)	10th Anniversary	Hero	Gold	5	4			May band to any female O.T. Hero.	Deck	Exodus 15:20		Good	
Women of Israel (1st Print - L)	L1P	L51-1P-Women-of-Israel	L Starter (1st Print)	Hero	White	1	2			You may look at the top 3 cards of deck: Take up to 1 and underdeck the rest.	Starter	Exodus 15:20		Good	Rotation
Women of Israel [L]	L	L53-Women-of-Israel	L Starter	Hero	White	1	2		Generic, Wilderness	You may look at the top 3 cards of deck: Take up to 1 and underdeck the rest.	Starter	Exodus 15:20		Good	Rotation
Wonderment (Ap)	Ap	Wonderment_(Ap)	Apostles	GE	Purple	4	3				Common	Matthew 14:25-27		Good	
Wonderment (I)	I	Wonderment_(I)	I	GE	Purple	4	3			Negate and discard the last evil Enhancement played in battle.	Deck	Matthew 14:26-27		Good	Rotation
Wonders Forgotten	Pri	Wonders_Forgotten_(Pi)	Priests	EE	Gold	0	4			Select up to four good cards from one player's discard pile and remove them from the game.  The battle immediately ends.  Cannot be negated	Common	Psalm 78:11		Evil	
Wool Fleece	Pat	Wool_Fleece_(Pa)	Patriarchs	Artifact						No Evil Characters may band.	Rare	Judges 6:37		Neutral	
Wool Fleece (CoW AB)	CoW (AB)	CoW_AB_N06-Wool-Fleece-R	Cloud of Witnesses (Alternate Border)	Artifact					May be activated on Gideon	Protect Evil Characters from band abilities.	Rare	Judges 6:37		Neutral	Rotation
Wool Fleece (CoW)	CoW	Wool_Fleece_(CoW)	Cloud of Witnesses	Artifact					May be activated on Gideon	Protect Evil Characters from band abilities.	Rare	Judges 6:37		Neutral	Rotation
Word of Christ	TPC	Word_of_Christ_(PC)	Persecuted Church	GE	Clay/White	3	2		Involves Music, X = # of musicians in battle	If you control a clay Hero, negate an evil or neutral card. Hero ignores up to X evil brigades in battle or you may draw X (limit 3). Cannot be prevented	Common	Colossians 3:16		Good	Rotation
Word of Their Testimony	CoW	Word_of_Their_Testimony_(CoW)	Cloud of Witnesses	GE	Green/Clay/White	3	3			Underdeck an evil human. Negate and remove a demon from the game. Cannot be prevented if used by a prophet.	Rare	Revelation 12:11		Good	Rotation
Word of Their Testimony (CoW AB)	CoW (AB)	CoW_AB_N46-Word-of-Their-Testimony-R	Cloud of Witnesses (Alternate Border)	GE	Clay/Green/White	3	3			Underdeck an evil human. Negate and remove a demon from the game. Cannot be prevented if used by a prophet.	Rare	Revelation 12:11		Good	Rotation
Words of Discouragement	AW	Words_of_Discouragement_(AW)	Angel Wars	EE	Pale Green	3	3			Opponent must return 3 cards from hand to top of draw pile.  Holder may play the next enhancement.	Rare	Deuteronomy 1:28		Evil	
Words of Encouragement (Ki)	Ki	Words_of_Encouragement_(Ki)	Kings	GE	White	4	3			Holder may interrupt the battle, draw 3 cards from the top of own draw pile, and play the next enhancement card.	Rare	Deuteronomy 20:3-5		Good	
